Name,Symbol
Royal Bank Of Canada,RY
Toronto Dominion Bank,TD
Enbridge,ENB
Canadian National Railway,CNI
Brookfield Asset Management,BAM
Scotiabank,BNS
Bank of Montreal,BMO
Canadian Natural Resources,CNQ
Canadian Pacific Railway,CP
Shopify,SHOP
Nutrien,NTR
TC Energy,TRP
BCE,BCE
CIBC,CM
Thomson Reuters,TRI
Alimentation Couche-Tard,ATD.TO
lululemon athletica,LULU
Suncor Energy,SU
Barrick Gold,GOLD
Manulife Financial,MFC
Telus,TU
Constellation Software,CSU.TO
Cenovus Energy,CVE
Imperial Oil,IMO
Sun Life Financial,SLF
Loblaws,L.TO
Franco-Nevada,FNV
Rogers Communication,RCI
Restaurant Brands International,QSR
Agnico Eagle Mines,AEM
Great-West Lifeco,GWO.TO
Intact Financial,IFC.TO
National Bank of Canada,NA.TO
Fortis,FTS
Wheaton Precious Metals,WPM
Pembina Pipeline,PBA
Power Corporation of Canada,POW.TO
CGI,GIB
Teck Resources,TECK
First Quantum Minerals,FM.TO
Magna International,MGA
George Weston,WN.TO
Dollarama,DOL.TO
Hydro One,H.TO
Tourmaline Oil,TOU.TO
Shaw Communications,SJR
Power Financial,PWF-PS.TO
WSP Global,WSP.TO
Metro,MRU.TO
Emera,EMA.TO
